KEY	SEVERITY	TYPE	COMPONENT	LINE	MESSAGE
AZnEfuB11rqGQIjEbc-k	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/security-manager.js	316	Exporting mutable 'var' binding, use 'const' instead.
AZnEfuB11rqGQIjEbc-l	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/security-manager.js	318	Prefer using the default export over named export.
AZnEfuCR1rqGQIjEbc-m	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/steam-integration.js	3	Unexpected var, use let or const instead.
AZnEfuCR1rqGQIjEbc-n	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/steam-integration.js	5	Unexpected var, use let or const instead.
AZnEfuCR1rqGQIjEbc-o	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/steam-integration.js	6	Unexpected var, use let or const instead.
AZnEfuCR1rqGQIjEbc-p	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/steam-integration.js	713	Remove the declaration of the unused 'matchingGames' variable.
AZnEfuCR1rqGQIjEbc-q	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/steam-integration.js	713	Remove this useless assignment to variable "matchingGames".
AZnEfuCR1rqGQIjEbc-r	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/steam-integration.js	1751	Unexpected var, use let or const instead.
AZnEfuCR1rqGQIjEbc-s	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/steam-integration.js	1751	Exporting mutable 'var' binding, use 'const' instead.
AZnEfuCR1rqGQIjEbc-t	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/steam-integration.js	1753	Prefer using the default export over named export.
AZnEfuA01rqGQIjEbc-S	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/workers/fileOperations-worker.js	3	Unexpected var, use let or const instead.
AZnEfuA01rqGQIjEbc-T	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/workers/fileOperations-worker.js	4	Unexpected var, use let or const instead.
AZnEft8s1rqGQIjEbc-C	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/animations.js	3	Unexpected var, use let or const instead.
AZnEft8s1rqGQIjEbc-D	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/animations.js	4	Unexpected var, use let or const instead.
AZnEft8K1rqGQIjEbc-A	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/app.js	3	Unexpected var, use let or const instead.
AZnEft8K1rqGQIjEbc-B	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/app.js	4	Unexpected var, use let or const instead.
AZnEft871rqGQIjEbc-E	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/code-splitter.js	3	Unexpected var, use let or const instead.
AZnEft871rqGQIjEbc-F	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/code-splitter.js	4	Unexpected var, use let or const instead.
AZnEft171rqGQIjEbc9w	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/components.js	3	Unexpected var, use let or const instead.
AZnEft171rqGQIjEbc9x	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/components.js	4	Unexpected var, use let or const instead.
AZnEft6A1rqGQIjEbc9-	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/crash-handler.js	3	Unexpected var, use let or const instead.
AZnEft6A1rqGQIjEbc9_	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/crash-handler.js	4	Unexpected var, use let or const instead.
AZnEft5m1rqGQIjEbc96	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/i18n-hot.js	3	Unexpected var, use let or const instead.
AZnEft5m1rqGQIjEbc97	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/i18n-hot.js	4	Unexpected var, use let or const instead.
AZnEft5y1rqGQIjEbc98	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/lazy-loader.js	3	Unexpected var, use let or const instead.
AZnEft5y1rqGQIjEbc99	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/lazy-loader.js	4	Unexpected var, use let or const instead.
AZnEft4o1rqGQIjEbc90	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/modules/events.js	3	Unexpected var, use let or const instead.
AZnEft4o1rqGQIjEbc91	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/modules/events.js	4	Unexpected var, use let or const instead.
AZnEft4X1rqGQIjEbc9y	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/modules/navigation.js	3	Unexpected var, use let or const instead.
AZnEft4X1rqGQIjEbc9z	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/modules/navigation.js	4	Unexpected var, use let or const instead.
AZnEft461rqGQIjEbc92	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/modules/settings.js	3	Unexpected var, use let or const instead.
AZnEft461rqGQIjEbc93	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/modules/settings.js	4	Unexpected var, use let or const instead.
AZnEft5R1rqGQIjEbc94	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/modules/steam-games.js	3	Unexpected var, use let or const instead.
AZnEft5R1rqGQIjEbc95	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/modules/steam-games.js	4	Unexpected var, use let or const instead.
AZnEft9h1rqGQIjEbc-I	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/performance.js	3	Unexpected var, use let or const instead.
AZnEft9h1rqGQIjEbc-J	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/performance.js	4	Unexpected var, use let or const instead.
AZnEft9K1rqGQIjEbc-G	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/setup.js	3	Unexpected var, use let or const instead.
AZnEft9K1rqGQIjEbc-H	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/renderer/scripts/setup.js	4	Unexpected var, use let or const instead.
AZnEFSl-Sww7JWRkCE4C	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	90	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSl-Sww7JWRkCE4D	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	102	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSl-Sww7JWRkCE4E	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	118	`String.raw` should be used to avoid escaping `\`.
AZnEFSl-Sww7JWRkCE4F	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	180	Remove the declaration of the unused 'alternativePaths' variable.
AZnEFSl-Sww7JWRkCE4G	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	180	Remove this useless assignment to variable "alternativePaths".
AZnEFSl-Sww7JWRkCE4H	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	240	Remove the declaration of the unused 'bounds2' variable.
AZnEFSl-Sww7JWRkCE4I	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	240	Remove this useless assignment to variable "bounds2".
AZnEFSl-Sww7JWRkCE4J	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	244	Refactor this code to not nest functions more than 4 levels deep.
AZnEFSl-Sww7JWRkCE4K	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	347	Unexpected negated condition.
AZnEFSl-Sww7JWRkCE4L	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	349	This branch's code block is the same as the block for the branch on line 344.
AZnEFSl-Sww7JWRkCE4M	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	386	Prefer `structuredClone(â¦)` over `JSON.parse(JSON.stringify(â¦))` to create a deep clone.
AZnEFSl-Sww7JWRkCE4N	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	414	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSl-Sww7JWRkCE4O	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	554	Move function 'protectCriticalSettings' to the outer scope.
AZnEFSl-Sww7JWRkCE4P	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	603	Remove the declaration of the unused 'securityManager' variable.
AZnEFSl-Sww7JWRkCE4Q	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	603	Remove this useless assignment to variable "securityManager".
AZnEFSl-Sww7JWRkCE4R	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	604	Remove the declaration of the unused 'sandboxManager' variable.
AZnEFSl-Sww7JWRkCE4S	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	604	Remove this useless assignment to variable "sandboxManager".
AZnEFSl-Sww7JWRkCE4T	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	654	Remove the declaration of the unused 'filesystemManager' variable.
AZnEFSl-Sww7JWRkCE4U	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	654	Remove this useless assignment to variable "filesystemManager".
AZnEFSl-Sww7JWRkCE4V	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	657	Prefer `globalThis` over `global`.
AZnEFSl-Sww7JWRkCE4W	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	661	Remove this useless assignment to variable "performanceManager".
AZnEFSl-Sww7JWRkCE4X	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	665	Prefer `globalThis` over `global`.
AZnEFSl-Sww7JWRkCE4Y	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	674	Prefer `globalThis` over `global`.
AZnEFSl-Sww7JWRkCE4Z	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	675	Prefer `globalThis` over `global`.
AZnEFSl-Sww7JWRkCE4a	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	676	Prefer `globalThis` over `global`.
AZnEFSl-Sww7JWRkCE4b	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	677	Remove this useless assignment to variable "gamesManager".
AZnEFSl-Sww7JWRkCE4c	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	677	Prefer `globalThis` over `global`.
AZnEFSl-Sww7JWRkCE4d	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	678	Remove this useless assignment to variable "achievementsManager".
AZnEFSl-Sww7JWRkCE4e	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	678	Prefer `globalThis` over `global`.
AZnEFSl-Sww7JWRkCE4f	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/main.js	705	Handle this exception or don't catch it at all.
AZnEFSlOSww7JWRkCE30	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/achievements.js	19	Refactor this asynchronous operation outside of the constructor.
AZnEFSlOSww7JWRkCE31	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/achievements.js	30	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSlOSww7JWRkCE32	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/achievements.js	78	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSlOSww7JWRkCE33	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/achievements.js	320	Handle this exception or don't catch it at all.
AZnEFSk8Sww7JWRkCE3y	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/config.js	9	Prefer class field declaration over `this` assignment in constructor for static values.
AZnEFSk8Sww7JWRkCE3z	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/config.js	215	Handle this exception or don't catch it at all.
AZnEFShNSww7JWRkCE2I	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/crash-reporter.js	11	Prefer class field declaration over `this` assignment in constructor for static values.
AZnEFShNSww7JWRkCE2J	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/crash-reporter.js	32	Prefer `String#replaceAll()` over `String#replace()`.
AZnEFShNSww7JWRkCE2K	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/crash-reporter.js	155	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFShNSww7JWRkCE2L	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/crash-reporter.js	167	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFShNSww7JWRkCE2M	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/crash-reporter.js	187	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.
AZnEFShNSww7JWRkCE2N	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/crash-reporter.js	242	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFShNSww7JWRkCE2O	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/crash-reporter.js	350	Prefer `String#replaceAll()` over `String#replace()`.
AZnEFShNSww7JWRkCE2P	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/crash-reporter.js	386	Prefer `String#replaceAll()` over `String#replace()`.
AZnEFSi-Sww7JWRkCE2a	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	95	Handle this exception or don't catch it at all.
AZnEFSi-Sww7JWRkCE2b	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	104	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSi-Sww7JWRkCE2c	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	162	Handle this exception or don't catch it at all.
AZnEFSi-Sww7JWRkCE2d	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	179	Handle this exception or don't catch it at all.
AZnEFSi-Sww7JWRkCE2e	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/default-config.js	186	Handle this exception or don't catch it at all.
AZnEFShrSww7JWRkCE2R	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	799	This always evaluates to truthy. Consider refactoring this code.
AZnEFShrSww7JWRkCE2S	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/filesystem.js	805	Prefer `globalThis` over `global`.
AZnEFSjPSww7JWRkCE2f	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/games.js	19	Refactor this asynchronous operation outside of the constructor.
AZnEFSjPSww7JWRkCE2g	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/games.js	30	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSjPSww7JWRkCE2h	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/games.js	46	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSjPSww7JWRkCE2i	CRITICAL	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/games.js	73	Unexpected `await` of a non-Promise (non-"Thenable") value.
AZnEFSjPSww7JWRkCE2j	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/games.js	115	Handle this exception or don't catch it at all.
AZnEFSjPSww7JWRkCE2k	MAJOR	BUG	CDTeamMods_Achievements-Manager:src/main/modules/games.js	134	Unreachable code.
AZnEFSjPSww7JWRkCE2l	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/games.js	151	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSjPSww7JWRkCE2m	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/games.js	303	Unexpected negated condition.
AZnEFSjPSww7JWRkCE2n	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/games.js	307	Unexpected negated condition.
AZnEFSkOSww7JWRkCE3k	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/goldberg-migration.js	110	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSkOSww7JWRkCE3l	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/goldberg-migration.js	301	Prefer `globalThis` over `global`.
AZnEFSkOSww7JWRkCE3m	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/goldberg-migration.js	512	Prefer `globalThis` over `global`.
AZnEFSkOSww7JWRkCE3n	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/goldberg-migration.js	522	Prefer `globalThis` over `global`.
AZnEFSkOSww7JWRkCE3o	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/goldberg-migration.js	542	Prefer `globalThis` over `global`.
AZnEFSkOSww7JWRkCE3p	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/goldberg-migration.js	552	Prefer `globalThis` over `global`.
AZnEFSiLSww7JWRkCE2W	MAJOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/gse-saves.js	64	Prefer using an optional chain expression instead, as it's more concise and easier to read.
AZnEFSllSww7JWRkCE34	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/i18n.js	461	Handle this exception or don't catch it at all.
AZnEFSllSww7JWRkCE35	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/i18n.js	473	`supportedLanguages` should be a `Set`, and use `supportedLanguages.has()` to check existence or non-existence.
AZnEFSksSww7JWRkCE3t	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/path-manager.js	11	Prefer class field declaration over `this` assignment in constructor for static values.
AZnEFSksSww7JWRkCE3u	MINOR	CODE_SMELL	CDTeamMods_Achievements-Manager:src/main/modules/path-manager.js	61	`String.raw` should be used to avoid escaping `\`.
